date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:29	413462/413462	---M--	200	added ('OK')	application/pdf	etag:%2258801e8-64f16-4c4a6ea939b80%22	https://spqr.eecs.umich.edu/papers/holcomb-rfidsec12.pdf	spqr.eecs.umich.edu/papers/holcomb-rfidsec12.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:31	1205751/1205751	---M--	200	added ('OK')	application/pdf	etag:%2258801ee-1265f7-4c50655743f40%22	https://spqr.eecs.umich.edu/papers/walls-hotsec12.pdf	spqr.eecs.umich.edu/papers/walls-hotsec12.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:31	3112756/3112756	---M--	200	added ('OK')	application/pdf	etag:%2258801ec-2f7f34-4c4a5108a7540%22	https://spqr.eecs.umich.edu/papers/rahmati-usenix12.pdf	spqr.eecs.umich.edu/papers/rahmati-usenix12.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:32	2491230/2491230	---M--	200	added ('OK')	application/pdf	etag:%2258801e4-26035e-4c46afb16de40%22	https://spqr.eecs.umich.edu/papers/clark-potentia-hotsec12.pdf	spqr.eecs.umich.edu/papers/clark-potentia-hotsec12.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:43	1747709/1747709	---M--	200	added ('OK')	application/pdf	etag:%225880978-1aaafd-4e2fca3778e40%22	https://spqr.eecs.umich.edu/papers/clark-esorics13.pdf	spqr.eecs.umich.edu/papers/clark-esorics13.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:50	3909300/3909300	---M--	200	added ('OK')	application/pdf	etag:%225880066-3ba6b4-4e09d42ad8d00%22	https://spqr.eecs.umich.edu/papers/ransford-thesis.pdf	spqr.eecs.umich.edu/papers/ransford-thesis.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:51	44915/44915	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:52:51%20GMT	https://spqr.eecs.umich.edu/spqrbib.html	spqr.eecs.umich.edu/spqrbib.html	(from https://spqr.eecs.umich.edu/spqrbib_bib.html)
01:52:51	234/234	---M--	200	added ('OK')	text/css	etag:%2258807bd-ea-4dcceba9bf7c0%22	https://spqr.eecs.umich.edu/emi/emi.css	spqr.eecs.umich.edu/emi/emi.css	(from https://spqr.eecs.umich.edu/emi/)
01:52:52	7521/7521	---M--	200	added ('OK')	text/javascript	etag:%225d61cca-1d61-446ac98e05300%22	https://spqr.eecs.umich.edu/js/simile/simile-ajax-api.js?bundle=false	spqr.eecs.umich.edu/js/simile/simile-ajax-api097f.js	(from https://spqr.eecs.umich.edu/emi/)
01:52:52	2179215/2179215	---M--	200	added ('OK')	application/pdf	etag:%225880070-21408f-4e2a8f30de5c0%22	https://spqr.eecs.umich.edu/papers/clark-healthtech13.pdf	spqr.eecs.umich.edu/papers/clark-healthtech13.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:52	4830762/4830762	---M--	200	added ('OK')	application/pdf	etag:%22588006c-49b62a-4e66337f81a80%22	https://spqr.eecs.umich.edu/papers/ssclark-thesis.pdf	spqr.eecs.umich.edu/papers/ssclark-thesis.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:52	9493/9493	---M--	200	added ('OK')	text/javascript	etag:%225d61c08-2515-446ac98e05300%22	https://spqr.eecs.umich.edu/js/exhibit/exhibit-api.js?bundle=false&autoCreate=false	spqr.eecs.umich.edu/js/exhibit/exhibit-apicf74.js	(from https://spqr.eecs.umich.edu/emi/)
01:52:53	804/804	---M--	200	added ('OK')	text/javascript	etag:%225880078-324-4f8fad337bb00%22	https://spqr.eecs.umich.edu/subpub.js	spqr.eecs.umich.edu/subpub.js	(from https://spqr.eecs.umich.edu/emi/)
01:52:53	74780/74780	---M--	200	added ('OK')	image/png	etag:%2258807ba-1241c-4dcceba9bf7c0%22	https://spqr.eecs.umich.edu/emi/waveforms_emi.png	spqr.eecs.umich.edu/emi/waveforms_emi.png	(from https://spqr.eecs.umich.edu/emi/)
01:52:54	310/310	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:54%20GMT	https://spqr.eecs.umich.edu/emi/publications-flat.php	spqr.eecs.umich.edu/emi/publications-flat.93.delayed	(from https://spqr.eecs.umich.edu/emi/)
01:52:54	8266435/8266435	---M--	200	added ('OK')	application/pdf	etag:%2258801eb-7e22c3-4ce30c550c6c0%22	https://spqr.eecs.umich.edu/papers/molina-markham-phd-thesis.pdf	spqr.eecs.umich.edu/papers/molina-markham-phd-thesis.pdf	(from https://spqr.eecs.umich.edu/publications-flat.php)
01:52:54	305/305	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:54%20GMT	https://spqr.eecs.umich.edu/emi/spqrbib_bib.html	spqr.eecs.umich.edu/emi/spqrbib_bib.94.delayed	(from https://spqr.eecs.umich.edu/emi/)
01:52:55	234/234	---M--	200	added ('OK')	text/css	etag:%225880085-ea-4af48037ef280%22	https://spqr.eecs.umich.edu/ekho/ekho.css	spqr.eecs.umich.edu/ekho/ekho.css	(from https://spqr.eecs.umich.edu/ekho/)
01:52:55	311/311	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:55%20GMT	https://spqr.eecs.umich.edu/ekho/publications-flat.php	spqr.eecs.umich.edu/ekho/publications-flat.96.delayed	(from https://spqr.eecs.umich.edu/ekho/)
01:52:56	306/306	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:55%20GMT	https://spqr.eecs.umich.edu/ekho/spqrbib_bib.html	spqr.eecs.umich.edu/ekho/spqrbib_bib.97.delayed	(from https://spqr.eecs.umich.edu/ekho/)
01:52:56	332/332	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Nov%202016%2006:52:56%20GMT	https://spqr.eecs.umich.edu/mementos	spqr.eecs.umich.edu/mementos.98.delayed	(from https://spqr.eecs.umich.edu/ekho/)
01:52:56	305/305	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:56%20GMT	https://spqr.eecs.umich.edu/tardis/half-wits.css	spqr.eecs.umich.edu/tardis/half-wits.99.delayed	(from https://spqr.eecs.umich.edu/tardis/)
